Venue,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,TeamGoals,OpponentGoals,Win,Draw,Loss
Home,Aston Villa,Y,RW,87,0,1,0,0,3,0,46,0,0,0,0.5,0.5,0.3,5,1,28,34,82.4,2,31,3,5,5,2,1,1,0,0
Away,Manchester Utd,Y,"RW,RM",90,1,0,0,0,4,1,46,2,0,0,0.4,0.4,0.0,3,0,24,34,70.6,3,23,4,2,1,1,3,0,0,1
Away,Brentford,Y,RW,89,0,2,0,0,3,1,56,2,1,0,0.2,0.2,0.3,4,2,42,47,89.4,3,39,1,1,0,3,0,1,0,0
Home,Tottenham,Y,RW,90,0,0,0,0,3,1,51,1,0,1,0.3,0.3,0.3,9,2,33,41,80.5,2,40,4,3,1,3,1,1,0,0
Home,Liverpool,Y,"RW,RM",89,2,0,1,1,3,2,37,1,1,2,1.9,1.3,0.0,4,1,18,24,75.0,1,18,4,3,1,3,2,1,0,0
Away,Leeds United,Y,RW,81,1,0,0,0,1,1,37,1,0,1,0.1,0.1,0.1,2,1,16,27,59.3,0,21,4,3,1,1,0,1,0,0
Away,Southampton,Y,RW,90,0,0,0,0,2,0,43,2,2,1,0.1,0.1,0.0,2,0,23,33,69.7,1,26,1,3,1,1,1,0,1,0
Home,Nott'ham Forest,Y,RW,26,0,1,0,0,1,0,22,0,0,1,0.2,0.2,0.2,5,1,15,20,75.0,2,13,3,0,0,5,0,1,0,0
Away,Chelsea,Y,RW,90,0,1,0,0,1,0,53,2,0,0,0.1,0.1,0.9,4,1,34,47,72.3,3,32,7,2,0,1,0,1,0,0
Away,Wolves,Y,RW,89,0,0,0,0,0,0,60,0,0,1,0.0,0.0,0.3,5,0,40,46,87.0,4,45,5,10,4,2,0,1,0,0
Home,West Ham,Y,"RW,LW",90,1,0,0,0,1,1,49,2,0,2,0.7,0.7,0.7,5,0,29,38,76.3,4,32,1,2,0,3,1,1,0,0
Away,Brighton,Y,"RW,CM",90,1,0,0,0,1,1,34,4,2,1,0.4,0.4,0.1,1,0,9,19,47.4,1,10,2,0,0,4,2,1,0,0
Home,Newcastle Utd,Y,RW,90,0,0,0,0,2,1,45,0,0,0,0.1,0.1,0.1,6,0,26,35,74.3,3,32,11,5,1,0,0,0,1,0
Away,Tottenham,Y,RW,90,0,1,0,0,1,0,53,0,0,1,0.0,0.0,0.1,4,1,28,38,73.7,3,39,9,5,0,2,0,1,0,0
Home,Manchester Utd,Y,RW,90,1,0,0,0,5,2,66,1,0,1,0.3,0.3,0.4,9,1,39,53,73.6,3,41,11,4,3,3,2,1,0,0
Away,Everton,Y,RW,90,0,0,0,0,4,0,72,1,1,2,0.2,0.2,0.3,7,0,40,49,81.6,3,50,8,9,5,0,1,0,0,1
Home,Brentford,Y,RW,90,0,1,0,0,7,2,58,1,0,0,0.3,0.3,0.7,7,1,37,46,80.4,6,44,4,3,2,1,1,0,1,0
Home,Manchester City,Y,RW,90,1,0,1,1,0,0,42,2,1,1,0.8,0.0,0.2,1,0,19,27,70.4,3,22,2,4,1,1,3,0,0,1
Away,Aston Villa,Y,"RW,RM",90,1,0,0,0,6,2,74,4,0,1,0.3,0.3,0.0,2,1,29,51,56.9,4,39,5,11,4,4,2,1,0,0
Away,Leicester City,Y,RW,90,0,0,0,0,2,0,61,2,1,2,0.1,0.1,0.1,4,0,28,42,66.7,2,28,2,7,3,1,0,1,0,0
Home,Everton,Y,RW,81,1,1,0,0,3,1,54,1,0,4,0.4,0.4,0.5,3,1,27,39,69.2,1,35,3,4,1,4,0,1,0,0
Home,Bournemouth,Y,RW,90,0,0,0,0,4,1,92,3,0,0,0.5,0.5,0.1,9,0,57,79,72.2,9,66,8,7,3,3,2,1,0,0
Away,Fulham,Y,RW,71,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.1,5,1,28,35,80.0,4,34,5,3,1,3,0,1,0,0
Home,Crystal Palace,Y,RW,90,2,1,0,0,3,2,54,1,0,2,0.4,0.4,0.4,4,2,25,42,59.5,5,34,4,3,0,4,1,1,0,0
Home,Leeds United,N,RW,31,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,1,9,14,64.3,0,11,2,2,1,4,1,1,0,0
Away,Liverpool,Y,"RW,RM",90,0,0,0,0,0,0,45,3,0,1,0.0,0.0,0.8,5,1,22,34,64.7,2,28,5,5,3,2,2,0,1,0
Away,West Ham,Y,RW,90,0,0,0,1,3,1,55,2,1,4,1.0,0.3,0.0,2,0,27,39,69.2,1,28,3,3,0,2,2,0,1,0
Home,Southampton,Y,RW,90,1,1,0,0,2,1,60,3,0,0,0.3,0.3,0.6,10,2,39,50,78.0,7,39,11,7,2,3,3,0,1,0
Away,Manchester City,Y,RW,79,0,0,0,0,1,0,30,0,0,1,0.1,0.1,0.0,1,0,15,22,68.2,1,20,0,4,2,1,4,0,0,1
Home,Chelsea,Y,RW,73,0,0,0,0,5,2,46,2,0,0,0.3,0.3,0.1,5,0,25,34,73.5,3,31,7,4,2,3,1,1,0,0
Away,Newcastle Utd,Y,RW,86,0,0,0,0,2,1,38,6,0,0,0.3,0.3,0.0,2,1,17,23,73.9,4,22,5,2,0,2,0,1,0,0
Home,Brighton,Y,RW,90,0,0,0,0,2,0,39,4,0,1,0.1,0.1,0.0,5,0,20,30,66.7,4,23,4,5,4,0,3,0,0,1
Away,Nott'ham Forest,Y,RW,90,0,0,0,0,1,1,65,1,0,0,0.1,0.1,0.1,3,0,42,55,76.4,3,37,5,3,1,0,1,0,0,1
Home,Wolves,Y,RW,59,1,0,0,0,3,2,31,2,0,0,0.3,0.3,0.3,3,2,16,24,66.7,2,22,6,4,2,5,0,1,0,0
