Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Match Report
Sat,Premier League,Matchweek 10,Home,W 4–1,Liverpool,Cardiff City,Y,FW,90,1,2,0,0,4,2,0,0,70,0,0,1,0.6,0.6,1.2,5,2,44,57,77.2,11,53,3,2,0,Match Report
Sat,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Arsenal,Y,"FW,RW",89,0,0,0,0,3,0,0,0,40,0,0,0,0.1,0.1,0.6,5,0,21,29,72.4,2,29,6,5,4,Match Report
Sun,Premier League,Matchweek 12,Home,W 2–0,Liverpool,Fulham,Y,"FW,RW",90,1,0,0,0,5,3,0,0,31,0,0,0,0.9,0.9,0.0,5,0,11,18,61.1,0,22,4,5,4,Match Report
Sat,Premier League,Matchweek 13,Away,W 3–0,Liverpool,Watford,Y,FW,85,1,0,0,0,2,2,0,0,26,1,0,1,0.2,0.2,0.0,0,0,10,18,55.6,1,18,1,3,2,Match Report
Sun,Premier League,Matchweek 14,Home,W 1–0,Liverpool,Everton,Y,"FW,RW",74,0,0,0,0,1,0,0,0,28,0,0,0,0.0,0.0,1.0,4,0,13,17,76.5,2,19,2,0,0,Match Report
Wed,Premier League,Matchweek 15,Away,W 3–1,Liverpool,Burnley,N,FW,26,0,1,0,0,2,2,0,0,11,0,0,0,0.2,0.2,0.6,4,1,7,8,87.5,1,7,2,0,0,Match Report
Sat,Premier League,Matchweek 16,Away,W 4–0,Liverpool,Bournemouth,Y,FW,90,3,0,0,0,4,3,0,0,59,0,0,0,1.3,1.3,0.1,7,3,38,46,82.6,2,43,2,6,5,Match Report
Sun,Premier League,Matchweek 17,Home,W 3–1,Liverpool,Manchester Utd,Y,FW,90,0,0,0,0,3,0,0,0,41,1,0,0,0.1,0.1,0.2,7,0,24,31,77.4,3,37,2,1,1,Match Report
Fri,Premier League,Matchweek 18,Away,W 2–0,Liverpool,Wolves,Y,FW,90,1,1,0,0,4,3,0,0,65,0,0,1,1.1,1.1,0.3,8,1,43,54,79.6,6,50,3,5,4,Match Report
Wed,Premier League,Matchweek 19,Home,W 4–0,Liverpool,Newcastle Utd,Y,FW,90,1,1,1,1,0,0,0,0,45,0,0,1,0.8,0.0,0.5,4,2,23,36,63.9,2,31,3,0,0,Match Report
Sat,Premier League,Matchweek 20,Home,W 5–1,Liverpool,Arsenal,Y,FW,90,1,1,1,1,2,1,0,0,37,1,0,0,1.0,0.2,0.5,3,2,21,27,77.8,4,27,1,1,0,Match Report
Thu,Premier League,Matchweek 21,Away,L 1–2,Liverpool,Manchester City,Y,"RW,FW",90,0,0,0,0,1,1,0,0,28,0,1,0,0.1,0.1,0.4,3,0,14,20,70.0,1,24,0,3,1,Match Report
Sat,Premier League,Matchweek 22,Away,W 1–0,Liverpool,Brighton,Y,FW,89,1,0,1,1,2,1,0,0,43,1,0,0,1.3,0.5,0.1,7,2,25,34,73.5,4,35,4,3,3,Match Report
Sat,Premier League,Matchweek 23,Home,W 4–3,Liverpool,Crystal Palace,Y,FW,89,2,0,0,0,2,2,0,0,49,1,0,0,1.5,1.5,0.2,1,0,23,30,76.7,2,35,2,5,3,Match Report
Wed,Premier League,Matchweek 24,Home,D 1–1,Liverpool,Leicester City,Y,FW,90,0,0,0,0,2,0,0,0,37,1,0,0,0.1,0.1,0.1,3,0,17,27,63.0,2,22,3,3,1,Match Report
Mon,Premier League,Matchweek 25,Away,D 1–1,Liverpool,West Ham,Y,"RW,FW",90,0,0,0,0,4,2,0,0,42,0,0,0,0.2,0.2,0.0,2,0,26,32,81.3,1,34,4,3,2,Match Report
Sat,Premier League,Matchweek 26,Home,W 3–0,Liverpool,Bournemouth,Y,RW,90,1,0,0,0,7,3,0,0,73,0,0,0,0.5,0.5,0.2,9,0,43,59,72.9,15,60,5,5,2,Match Report
Sun,Premier League,Matchweek 27,Away,D 0–0,Liverpool,Manchester Utd,Y,"RW,FW",78,0,0,0,0,1,0,0,0,33,1,0,0,0.1,0.1,0.0,0,0,19,24,79.2,3,24,1,3,1,Match Report
Wed,Premier League,Matchweek 28,Home,W 5–0,Liverpool,Watford,Y,RW,90,0,0,0,0,4,2,0,0,70,0,0,1,0.2,0.2,0.0,2,0,38,48,79.2,10,57,8,16,7,Match Report
Sun,Premier League,Matchweek 29,Away,D 0–0,Liverpool,Everton,Y,RW,90,0,0,0,0,2,2,0,0,30,0,0,0,0.6,0.6,0.0,3,0,17,24,70.8,3,28,6,4,3,Match Report
Sun,Premier League,Matchweek 30,Home,W 4–2,Liverpool,Burnley,Y,RW,90,0,0,0,0,5,1,0,0,55,1,0,0,0.2,0.2,0.1,4,1,25,32,78.1,4,34,6,8,1,Match Report
Sun,Premier League,Matchweek 31,Away,W 2–1,Liverpool,Fulham,Y,RW,89,0,0,0,0,5,3,0,0,39,2,0,0,0.5,0.5,0.0,3,1,16,20,80.0,2,31,4,6,1,Match Report
Sun,Premier League,Matchweek 32,Home,W 2–1,Liverpool,Tottenham,Y,"RW,FW",89,0,0,0,0,5,1,0,0,29,0,0,1,0.3,0.3,0.0,4,0,12,17,70.6,1,23,4,2,0,Match Report
Fri,Premier League,Matchweek 33,Away,W 3–1,Liverpool,Southampton,Y,RW,90,1,0,0,0,2,1,1,0,40,0,0,0,0.1,0.1,0.4,2,0,20,30,66.7,1,22,1,1,0,Match Report
Sun,Premier League,Matchweek 34,Home,W 2–0,Liverpool,Chelsea,Y,RW,89,1,0,0,0,5,3,0,0,66,1,1,1,0.2,0.2,0.2,6,0,36,47,76.6,9,58,7,11,5,Match Report
Sun,Premier League,Matchweek 35,Away,W 2–0,Liverpool,Cardiff City,Y,RW,90,0,0,0,0,4,3,0,0,46,2,0,0,0.7,0.7,0.0,5,1,19,31,61.3,4,28,3,5,2,Match Report
Fri,Premier League,Matchweek 36,Home,W 5–0,Liverpool,Huddersfield,Y,"RW,FW",90,2,1,0,0,8,3,0,0,50,0,0,0,1.2,1.2,0.7,7,1,26,36,72.2,5,41,7,8,6,Match Report
Sat,Premier League,Matchweek 37,Away,W 3–2,Liverpool,Newcastle Utd,Y,"RW,FW",72,1,0,0,0,4,1,0,0,35,1,0,0,0.3,0.3,0.4,4,1,19,26,73.1,3,30,1,4,1,Match Report
Sun,Premier League,Matchweek 38,Home,W 2–0,Liverpool,Wolves,Y,"RW,FW",90,0,0,0,0,5,1,0,0,29,0,0,0,0.3,0.3,0.0,2,0,15,20,75.0,0,24,2,3,1,Match Report
Fri,Premier League,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,Y,"RW,FW",90,1,1,0,0,2,1,0,0,44,0,0,0,0.3,0.3,0.2,5,1,24,38,63.2,3,25,4,2,2,Match Report
Sat,Premier League,Matchweek 2,Away,W 2–1,Liverpool,Southampton,Y,RW,78,0,0,0,0,3,1,0,0,19,0,0,0,0.4,0.4,0.0,2,0,8,14,57.1,2,13,1,0,0,Match Report
Sat,Premier League,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,RW,90,2,0,1,1,4,1,0,0,50,1,0,0,1.6,0.8,0.0,8,2,29,40,72.5,5,41,7,4,3,Match Report
Sat,Premier League,Matchweek 4,Away,W 3–0,Liverpool,Burnley,Y,"RW,FW",90,0,1,0,0,3,2,0,0,43,0,0,0,0.2,0.2,0.2,3,1,24,32,75.0,2,31,8,4,1,Match Report
Sat,Premier League,Matchweek 5,Home,W 3–1,Liverpool,Newcastle Utd,Y,RW,90,1,0,0,0,3,1,0,0,65,2,0,0,0.6,0.6,0.5,6,1,42,53,79.2,3,58,6,4,3,Match Report
Sun,Premier League,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,Y,RW,89,0,1,0,0,1,0,0,0,51,0,0,0,0.1,0.1,0.0,1,1,27,38,71.1,0,38,2,1,0,Match Report
Sat,Premier League,Matchweek 7,Away,W 1–0,Liverpool,Sheffield Utd,Y,"RW,FW",90,0,0,0,0,4,2,0,0,37,0,0,0,0.6,0.6,0.1,6,0,18,27,66.7,1,31,4,2,1,Match Report
Sat,Premier League,Matchweek 8,Home,W 2–1,Liverpool,Leicester City,Y,FW,89,0,0,0,0,5,2,0,0,42,1,1,1,0.9,0.9,0.2,5,0,21,29,72.4,2,32,4,3,3,Match Report
Sun,Premier League,Matchweek 10,Home,W 2–1,Liverpool,Tottenham,Y,RW,84,1,0,1,1,6,4,0,0,31,0,0,0,1.1,0.3,0.1,4,0,18,19,94.7,3,25,1,4,1,Match Report
Sat,Premier League,Matchweek 11,Away,W 2–1,Liverpool,Aston Villa,Y,RW,64,0,0,0,0,4,1,0,0,20,1,0,0,0.4,0.4,0.0,2,0,8,10,80.0,0,15,0,0,0,Match Report
Sun,Premier League,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,Y,"RW,FW",86,1,0,0,0,3,2,0,0,34,1,0,1,0.3,0.3,0.0,1,0,19,25,76.0,3,29,1,4,3,Match Report
Sat,Premier League,Matchweek 14,Home,W 2–1,Liverpool,Brighton,Y,RW,68,0,0,0,0,2,0,0,0,17,0,0,0,0.2,0.2,0.1,3,0,11,14,78.6,1,15,2,1,1,Match Report
Sat,Premier League,Matchweek 16,Away,W 3–0,Liverpool,Bournemouth,Y,RW,90,1,1,0,0,5,4,0,0,57,0,0,0,0.9,0.9,0.6,4,1,37,44,84.1,2,48,2,1,0,Match Report
Sat,Premier League,Matchweek 17,Home,W 2–0,Liverpool,Watford,Y,FW,90,2,0,0,0,7,3,0,0,42,1,1,0,1.0,1.0,0.0,3,0,18,25,72.0,2,29,5,5,1,Match Report
Thu,Premier League,Matchweek 19,Away,W 4–0,Liverpool,Leicester City,Y,RW,69,0,0,0,0,4,0,0,0,27,0,0,0,0.2,0.2,0.7,4,1,9,17,52.9,0,18,3,3,2,Match Report
Sun,Premier League,Matchweek 20,Home,W 1–0,Liverpool,Wolves,Y,FW,90,0,0,0,0,2,1,0,0,38,1,0,0,0.4,0.4,0.2,4,0,19,25,76.0,5,26,2,2,0,Match Report
Thu,Premier League,Matchweek 21,Home,W 2–0,Liverpool,Sheffield Utd,Y,RW,89,1,0,0,0,5,4,0,0,45,0,0,0,0.6,0.6,0.6,3,0,29,38,76.3,4,37,2,0,0,Match Report
Sat,Premier League,Matchweek 22,Away,W 1–0,Liverpool,Tottenham,Y,RW,89,0,1,0,0,1,0,0,0,41,0,1,0,0.1,0.1,0.5,6,1,28,34,82.4,4,34,4,2,2,Match Report
Sun,Premier League,Matchweek 23,Home,W 2–0,Liverpool,Manchester Utd,Y,"RW,FW",90,1,0,0,0,4,1,1,0,45,2,3,0,0.8,0.8,0.4,3,0,20,28,71.4,4,34,4,2,1,Match Report
Thu,Premier League,Matchweek 24,Away,W 2–1,Liverpool,Wolves,Y,"RW,FW",84,0,0,0,0,6,2,0,0,41,0,0,0,0.4,0.4,0.0,6,1,26,33,78.8,1,33,4,5,5,Match Report
Wed,Premier League,Matchweek 18,Away,W 2–0,Liverpool,West Ham,Y,RW,90,1,1,1,1,4,0,0,0,47,0,0,0,1.0,0.2,1.0,6,1,26,37,70.3,3,39,1,1,0,Match Report
Sat,Premier League,Matchweek 25,Home,W 4–0,Liverpool,Southampton,Y,RW,90,2,0,0,0,4,2,0,0,33,1,1,1,1.3,1.3,0.7,6,1,17,24,70.8,4,16,2,5,4,Match Report
Sat,Premier League,Matchweek 26,Away,W 1–0,Liverpool,Norwich City,Y,RW,90,0,0,0,0,4,1,0,0,41,1,0,0,0.3,0.3,0.1,4,0,19,26,73.1,4,30,2,3,0,Match Report
Mon,Premier League,Matchweek 27,Home,W 3–2,Liverpool,West Ham,Y,"RW,FW",90,1,0,0,0,5,3,0,0,52,1,0,0,0.4,0.4,0.0,5,0,28,37,75.7,6,36,6,8,5,Match Report
Sat,Premier League,Matchweek 28,Away,L 0–3,Liverpool,Watford,Y,"RW,FW",90,0,0,0,0,2,0,0,0,32,0,0,0,0.1,0.1,0.0,0,0,16,27,59.3,1,22,3,2,2,Match Report
Sat,Premier League,Matchweek 29,Home,W 2–1,Liverpool,Bournemouth,Y,RW,90,1,0,0,0,2,2,0,0,62,0,0,0,0.1,0.1,0.5,5,0,39,55,70.9,2,44,4,4,4,Match Report
Wed,Premier League,Matchweek 31,Home,W 4–0,Liverpool,Crystal Palace,Y,RW,90,1,1,0,0,5,1,0,0,77,0,0,0,0.7,0.7,0.4,6,1,52,68,76.5,11,65,5,2,1,Match Report
Thu,Premier League,Matchweek 32,Away,L 0–4,Liverpool,Manchester City,Y,RW,90,0,0,0,0,4,2,0,0,29,0,0,0,0.2,0.2,0.1,5,0,17,22,77.3,4,21,3,0,0,Match Report
Sun,Premier League,Matchweek 33,Home,W 2–0,Liverpool,Aston Villa,Y,RW,90,0,1,0,0,1,1,0,0,35,0,0,0,0.1,0.1,0.2,3,1,20,27,74.1,1,27,2,2,1,Match Report
Wed,Premier League,Matchweek 34,Away,W 3–1,Liverpool,Brighton,Y,RW,90,2,1,0,0,8,5,0,0,43,0,0,0,1.6,1.6,0.1,3,0,25,33,75.8,0,33,4,1,0,Match Report
