Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Pass_Att,Cmp%,PrgP,Carries,PrgC,TakeOns_Att,Succ,Player,TeamGoals,OpponentGoals,Win,Draw,Loss,TotalGoals
Home,Arsenal,Manchester Utd,Y*,AM,90,0,0,0,0,2,1,59,0,1,0,0.1,0.1,0.4,6,2,48,52,92.3,11,39,1,3,1,Martin-Odegaard,3,1,1,0,0,4
Away,Arsenal,West Ham,Y*,"AM,RM",89,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.2,4,0,37,42,88.1,3,27,3,1,0,Martin-Odegaard,2,1,1,0,0,3
Home,Arsenal,Leeds United,Y*,AM,90,0,0,0,0,3,2,62,2,2,0,0.2,0.2,0.4,6,0,41,53,77.4,4,38,2,5,3,Martin-Odegaard,2,1,1,0,0,3
Away,Arsenal,Tottenham,Y*,"RM,DM,CM",90,0,0,0,0,4,3,64,0,0,0,0.3,0.3,0.0,2,0,51,54,94.4,3,37,1,2,0,Martin-Odegaard,0,3,0,0,1,3
Away,Arsenal,Newcastle Utd,Y*,"AM,DM",90,0,0,0,0,1,0,37,2,0,1,0.1,0.1,0.1,5,0,26,31,83.9,6,18,2,4,2,Martin-Odegaard,0,2,0,0,1,2
Home,Arsenal,Everton,Y*,AM,90,1,0,0,0,3,1,91,0,1,0,0.2,0.2,0.3,7,0,72,84,85.7,15,66,7,1,1,Martin-Odegaard,5,1,1,0,0,6
Away,Arsenal,Crystal Palace,Y*,RM,89,0,0,0,0,2,0,51,2,0,0,0.1,0.1,0.0,0,0,29,41,70.7,4,27,1,1,0,Martin-Odegaard,2,0,1,0,0,2
Home,Arsenal,Leicester City,Y*,"RM,AM",90,0,0,0,0,1,0,52,1,0,1,0.0,0.0,0.0,5,1,40,47,85.1,2,29,4,2,2,Martin-Odegaard,4,2,1,0,0,6
Away,Arsenal,Bournemouth,Y*,RM,73,2,0,0,0,3,2,67,0,0,0,0.6,0.6,0.0,3,0,45,57,78.9,7,40,1,1,1,Martin-Odegaard,3,0,1,0,0,3
Home,Arsenal,Fulham,Y*,"RM,AM",89,1,0,0,0,3,2,80,3,0,0,0.2,0.2,0.2,9,0,61,73,83.6,17,48,2,5,5,Martin-Odegaard,2,1,1,0,0,3
Home,Arsenal,Aston Villa,Y*,RM,80,0,0,0,0,3,1,64,1,0,1,0.4,0.4,0.3,5,0,41,52,78.8,7,35,3,1,1,Martin-Odegaard,2,1,1,0,0,3
Away,Arsenal,Manchester Utd,Y*,RM,73,0,0,0,0,1,0,43,0,0,0,0.4,0.4,0.2,5,0,27,41,65.9,6,25,2,1,0,Martin-Odegaard,1,3,0,0,1,4
Home,Arsenal,Tottenham,Y*,RM,79,0,0,0,0,3,1,47,0,1,0,0.1,0.1,0.0,4,0,33,42,78.6,8,32,1,1,1,Martin-Odegaard,3,1,1,0,0,4
Home,Arsenal,Liverpool,Y*,RM,81,0,1,0,0,2,1,33,1,0,1,0.3,0.3,0.5,1,1,17,23,73.9,4,15,2,2,1,Martin-Odegaard,3,2,1,0,0,5
Away,Arsenal,Leeds United,Y*,RM,72,0,1,0,0,4,2,46,0,0,0,0.2,0.2,0.2,4,1,32,40,80.0,4,29,1,3,2,Martin-Odegaard,1,0,1,0,0,1
Away,Arsenal,Southampton,Y*,RM,82,0,0,0,0,1,0,40,1,0,0,0.1,0.1,0.4,4,0,30,35,85.7,8,24,1,0,0,Martin-Odegaard,1,1,0,1,0,2
Home,Arsenal,Nott'ham Forest,Y*,RM,90,1,0,0,0,3,1,65,1,1,0,0.2,0.2,0.6,8,1,38,53,71.7,5,31,5,2,0,Martin-Odegaard,5,0,1,0,0,5
Away,Arsenal,Chelsea,Y*,RM,86,0,0,0,0,1,0,39,0,0,2,0.1,0.1,0.2,4,0,24,33,72.7,4,21,4,1,1,Martin-Odegaard,1,0,1,0,0,1
Away,Arsenal,Wolves,Y*,RM,90,2,0,0,0,3,2,63,2,0,1,1.5,1.5,0.0,2,0,44,55,80.0,3,36,2,2,2,Martin-Odegaard,2,0,1,0,0,2
Home,Arsenal,West Ham,Y*,RM,90,0,2,0,0,6,0,77,1,0,1,0.4,0.4,1.1,9,3,58,64,90.6,17,48,5,4,2,Martin-Odegaard,3,1,1,0,0,4
Away,Arsenal,Brighton,Y*,RM,86,1,1,0,0,1,1,42,1,0,0,0.1,0.1,0.8,6,2,29,36,80.6,7,27,2,4,1,Martin-Odegaard,4,2,1,0,0,6
Home,Arsenal,Newcastle Utd,Y*,RM,90,0,0,0,0,2,0,36,2,0,0,0.2,0.2,0.3,5,0,20,29,69.0,3,20,2,2,1,Martin-Odegaard,0,0,0,1,0,0
